TIME,price,volume,CNT,volbar,ema_price,VWAP
2014-01-01 21:26:29.719,100.7392,105,6,2168,100.7387,100.7391
2014-01-01 21:31:29.719,100.8502,781,2,4580,100.8446,100.8472
2014-01-01 21:36:29.719,100.8493,9415,2,12626,100.8491,100.8493
2014-01-01 21:41:29.719,100.7785,1697,5,3292,100.7821,100.7901
2014-01-01 21:46:29.719,100.6418,1662,3,4411,100.6488,100.6481
2014-01-01 21:51:29.719,100.6406,871,3,871,100.641,100.6422
2014-01-01 21:56:29.719,100.6552,1560,1,8460,100.6545,100.6551
2014-01-01 22:01:29.719,100.9082,383,7,5148,100.8955,100.8889
2014-01-01 22:06:29.719,101.0471,791,5,14275,101.0395,101.0441
2014-01-01 22:11:29.719,101.0637,883,6,1466,101.0625,101.0572
2014-01-01 22:16:29.719,100.9305,1021,2,1308,100.9371,100.9403
2014-01-01 22:21:29.719,100.9651,270,2,3038,100.9637,100.9645
2014-01-01 22:26:29.719,101.0218,677,4,731,101.0189,101.0118
2014-01-01 22:31:29.719,101.038,2864,2,3837,101.037,101.0377
2014-01-01 22:36:29.719,100.99,620,2,1131,100.9923,100.9969
2014-01-01 22:41:29.719,101.039,1349,2,6059,101.0366,101.0385
2014-01-01 22:46:29.719,101.0008,98,6,645,101.0026,101.013
2014-01-01 22:51:29.719,100.9189,925,2,9595,100.9231,100.9194
2014-01-01 22:56:29.719,101.1018,824,6,2815,101.0928,101.0751
2014-01-01 23:01:29.719,101.1304,421,3,3525,101.1285,101.1279
2014-01-01 23:06:29.719,101.1084,516,3,6474,101.1094,101.1089
2014-01-01 23:11:29.719,101.082,4823,5,7766,101.0833,101.0831
2014-01-01 23:16:29.719,100.9669,839,5,2981,100.9727,100.9808
2014-01-01 23:21:29.719,100.9753,152,3,7273,100.9752,100.9754
2014-01-01 23:26:29.719,101.1872,783,7,3618,101.1766,101.1674
2014-01-01 23:31:29.719,101.0901,1867,7,5519,101.0944,101.0928
2014-01-01 23:36:29.719,101.1059,25,5,25,101.1054,101.0938
2014-01-01 23:41:29.719,101.1726,43,1,4429,101.1693,101.1724
2014-01-01 23:46:29.719,101.1404,355,6,2255,101.1419,101.1433
2014-01-01 23:51:29.719,101.1512,368,2,2011,101.1508,101.1508
2014-01-01 23:56:29.719,101.0991,648,3,12052,101.1016,101.0995
2014-01-02 00:01:29.719,101.0783,111,8,4741,101.0795,101.0807
2014-01-02 00:06:29.719,101.1578,20,5,2977,101.1539,101.1515
2014-01-02 00:11:29.719,101.2956,2225,4,6087,101.2886,101.2919
2014-01-02 00:16:29.719,101.2532,1811,3,4612,101.2549,101.2556
2014-01-02 00:21:29.719,101.3453,421,5,2151,101.3408,101.3361
2014-01-02 00:26:29.719,101.4355,3260,3,4183,101.4308,101.4328
2014-01-02 00:31:29.719,101.4804,15,2,15,101.4779,101.4359
2014-01-02 00:36:29.719,101.4711,4446,1,7579,101.4715,101.4711
2014-01-02 00:41:29.719,101.5164,857,4,5949,101.5142,101.5137
2014-01-02 00:46:29.719,101.5432,763,3,858,101.5417,101.5352
2014-01-02 00:51:29.719,101.5327,1175,2,3778,101.5331,101.5327
2014-01-02 00:56:29.719,101.6193,1679,4,1679,101.615,101.6105
2014-01-02 01:01:29.719,101.5211,262,1,12282,101.5258,101.5217
2014-01-02 01:06:29.719,101.4382,2607,4,4990,101.4426,101.4474
2014-01-02 01:11:29.719,101.3589,374,4,3147,101.3631,101.3662
2014-01-02 01:16:29.719,101.2819,1861,4,3898,101.286,101.2855
2014-01-02 01:21:29.719,101.3636,1316,4,1818,101.3597,101.3557
2014-01-02 01:26:29.719,101.3168,81,2,4009,101.319,101.3178
2014-01-02 01:31:29.719,101.3063,11,2,569,101.3069,101.3093
2014-01-02 01:36:29.719,101.3501,1250,2,1250,101.3479,101.3489
2014-01-02 01:41:29.719,101.2409,906,1,4719,101.2463,101.2424
2014-01-02 01:46:29.719,101.1988,1118,4,2538,101.2012,101.2025
2014-01-02 01:51:29.719,101.209,82,4,82,101.2086,101.2049
2014-01-02 01:56:29.719,101.1115,12,1,2672,101.1163,101.1119
2014-01-02 02:01:29.719,101.2626,811,4,1686,101.2553,101.2515
2014-01-02 02:06:29.719,101.2779,1643,3,1643,101.2768,101.2765
2014-01-02 02:11:29.719,101.3023,130,1,3138,101.301,101.3016
2014-01-02 02:16:29.719,101.7354,73,2,89,101.7137,101.4559
2014-01-02 02:21:29.719,101.7095,274,2,6028,101.7097,101.709
2014-01-02 02:26:29.719,101.8625,598,4,760,101.8548,101.8188
2014-01-02 02:31:29.719,101.8352,29,3,29,101.8362,101.8246
2014-01-02 02:36:29.719,101.8496,1026,1,4865,101.849,101.8496
2014-01-02 02:41:29.719,101.8375,705,6,705,101.838,101.8406
2014-01-02 02:46:29.719,101.8526,837,1,2883,101.8519,101.8524
2014-01-02 02:51:29.719,101.8324,806,4,0,101.8333,101.8524
2014-01-02 02:56:29.719,101.8324,806,0,2748,101.8324,101.8324
2014-01-02 03:01:29.719,102.0223,261,3,2036,102.0128,102.0102
2014-01-02 03:06:29.719,102.0797,2615,2,6032,102.0763,102.0784
2014-01-02 03:11:29.719,101.9263,3341,3,6002,101.9338,101.9337
2014-01-02 03:16:29.719,101.8943,425,4,524,101.8962,101.9091
2014-01-02 03:21:29.719,101.7587,1460,3,0,101.7656,101.9091
2014-01-02 03:26:29.719,101.7587,1460,0,1630,101.7591,101.7589
2014-01-02 03:31:29.719,101.6484,752,2,4837,101.6539,101.6502
2014-01-02 03:36:29.719,101.4121,1099,2,3965,101.4242,101.426
2014-01-02 03:41:29.719,101.4174,1435,2,10429,101.4178,101.4176
2014-01-02 03:46:29.719,101.2983,1520,4,1553,101.3043,101.3287
2014-01-02 03:51:29.719,101.1954,1836,2,3660,101.2008,101.1991
2014-01-02 03:56:29.719,101.2198,1053,3,2574,101.2188,101.2184
2014-01-02 04:01:29.719,101.1652,937,3,5294,101.1679,101.1666
2014-01-02 04:06:29.719,101.182,1111,5,1111,101.1813,101.179
2014-01-02 04:11:29.719,101.1255,4216,1,0,101.1282,101.179
2014-01-02 04:16:29.719,101.1255,4216,0,11442,101.1256,101.1255
2014-01-02 04:21:29.719,101.1056,624,7,3271,101.1066,101.1086
2014-01-02 04:26:29.719,101.1195,653,3,4452,101.1189,101.1191
2014-01-02 04:31:29.719,100.8828,508,5,6090,100.8946,100.8915
2014-01-02 04:36:29.719,100.9077,172,8,5605,100.9071,100.9069
2014-01-02 04:41:29.719,101.1002,1059,4,2988,101.0906,101.0828
2014-01-02 04:46:29.719,101.0218,1240,3,1528,101.0253,101.0277
2014-01-02 04:51:29.719,100.9788,2819,2,2819,100.9811,100.9802
2014-01-02 04:56:29.719,101.0689,1467,1,3833,101.0645,101.0656
2014-01-02 05:01:29.719,100.9146,133,4,1792,100.9221,100.9297
2014-01-02 05:06:29.719,100.8276,1368,3,6347,100.8323,100.8292
2014-01-02 05:11:29.719,100.8323,433,2,1514,100.8323,100.8318
2014-01-02 05:16:29.719,100.9009,885,2,1830,100.8975,100.8976
2014-01-02 05:21:29.719,100.8204,264,3,6149,100.8242,100.8216
2014-01-02 05:26:29.719,100.7502,2,4,2905,100.7539,100.7572
2014-01-02 05:31:29.719,100.6819,735,3,6383,100.6855,100.6838
2014-01-02 05:36:29.719,100.722,371,5,6717,100.7201,100.7202
2014-01-02 05:41:29.719,100.6667,1728,5,1948,100.6693,100.6749
2014-01-02 05:46:29.719,100.6577,1407,2,3852,100.6583,100.6582
2014-01-02 05:51:29.719,100.5637,1345,3,4599,100.5684,100.5676
2014-01-02 05:56:29.719,100.5035,670,2,670,100.5068,100.5204
2014-01-02 06:01:29.719,100.2583,3053,1,6147,100.2707,100.2602
2014-01-02 06:06:29.719,100.2879,681,5,681,100.2871,100.2793
2014-01-02 06:11:29.719,100.1782,352,1,8797,100.1836,100.1788
2014-01-02 06:16:29.719,100.2238,1605,5,6598,100.2218,100.221
2014-01-02 06:21:29.719,100.2322,403,6,433,100.2317,100.2272
2014-01-02 06:26:29.719,100.2502,2523,2,7018,100.2493,100.2501
2014-01-02 06:31:29.719,100.1888,634,6,6780,100.1918,100.1918
2014-01-02 06:36:29.719,100.149,572,5,3109,100.1511,100.1534
2014-01-02 06:41:29.719,100.1569,1271,5,13852,100.1566,100.1569
2014-01-02 06:46:29.719,100.2057,646,6,4601,100.2033,100.1993
2014-01-02 06:51:29.719,100.0283,1200,6,3936,100.037,100.0391
2014-01-02 06:56:29.719,100.0467,3417,5,8103,100.0462,100.0465
2014-01-02 07:01:29.719,100.0924,831,4,4270,100.0901,100.0884
2014-01-02 07:06:29.719,100.0054,620,4,3748,100.0097,100.0103
2014-01-02 07:11:29.719,100.0514,553,3,3028,100.0493,100.0488
2014-01-02 07:16:29.719,100.2131,1026,3,6140,100.2049,100.2089
2014-01-02 07:21:29.719,100.2237,858,7,1943,100.2228,100.2217
2014-01-02 07:26:29.719,100.3616,16,4,3144,100.3546,100.3567
2014-01-02 07:31:29.719,100.4341,535,4,8937,100.4301,100.4327
2014-01-02 07:36:29.719,100.3791,757,4,11769,100.3817,100.3811
2014-01-02 07:41:29.719,100.3419,384,7,5417,100.3439,100.3459
2014-01-02 07:46:29.719,100.375,92,5,1722,100.3734,100.3706
2014-01-02 07:51:29.719,100.5111,1019,4,4406,100.5043,100.508
2014-01-02 07:56:29.719,100.5349,359,4,3068,100.5334,100.5331
2014-01-02 08:01:29.719,100.5078,3752,4,6823,100.5091,100.5084
2014-01-02 08:06:29.719,100.6118,3589,4,0,100.6067,100.5084
2014-01-02 08:11:29.719,100.6118,3589,0,6032,100.6116,100.6115
2014-01-02 08:16:29.719,100.8106,23,4,398,100.8006,100.7246
2014-01-02 08:21:29.719,100.8931,759,3,2180,100.8885,100.8904
2014-01-02 08:26:29.719,100.7051,536,2,536,100.7142,100.7368
2014-01-02 08:31:29.719,100.7223,1994,1,2719,100.7219,100.7224
2014-01-02 08:36:29.719,100.5448,446,3,4129,100.5537,100.5505
2014-01-02 08:41:29.719,100.3366,1298,2,5495,100.3475,100.3446
2014-01-02 08:46:29.719,100.3806,2431,6,6677,100.3789,100.3791
2014-01-02 08:51:29.719,100.3613,232,4,3507,100.3622,100.3629
2014-01-02 08:56:29.719,100.4924,1054,5,1054,100.4859,100.4724
2014-01-02 09:01:29.719,100.5184,1337,1,1337,100.5167,100.5163
2014-01-02 09:06:29.719,100.5589,1993,1,1993,100.5567,100.5574
2014-01-02 09:11:29.719,100.4227,341,1,5782,100.4294,100.425
2014-01-02 09:16:29.719,100.3313,1258,5,2402,100.3362,100.3415
2014-01-02 09:21:29.719,100.3811,941,2,2373,100.3788,100.379
2014-01-02 09:26:29.719,100.3913,938,5,8434,100.3907,100.3912
2014-01-02 09:31:29.719,100.3028,1526,5,4051,100.3072,100.3112
2014-01-02 09:36:29.719,100.3433,535,5,2402,100.3415,100.3406
2014-01-02 09:41:29.719,100.4701,2751,2,8280,100.4637,100.4681
2014-01-02 09:46:29.719,100.3381,162,3,7991,100.3444,100.3446
2014-01-02 09:51:29.719,100.446,1489,4,3672,100.441,100.4356
2014-01-02 09:56:29.719,100.5467,1177,3,6244,100.5414,100.5432
2014-01-02 10:01:29.719,100.4056,754,5,1575,100.4124,100.429
2014-01-02 10:06:29.719,100.3791,2670,2,2800,100.3808,100.3808
2014-01-02 10:11:29.719,100.4873,3207,2,7385,100.4819,100.4852
2014-01-02 10:16:29.719,100.6103,685,4,3829,100.6039,100.5991
2014-01-02 10:21:29.719,100.6342,736,3,6064,100.6327,100.6331
2014-01-02 10:26:29.719,100.5679,371,6,2185,100.5712,100.5761
2014-01-02 10:31:29.719,100.6121,1108,4,1284,100.6101,100.6089
2014-01-02 10:36:29.719,100.7306,578,2,4040,100.7246,100.7285
2014-01-02 10:41:29.719,100.7316,909,2,5558,100.7313,100.7315
2014-01-02 10:46:29.719,100.7292,571,8,5852,100.7293,100.7293
2014-01-02 10:51:29.719,100.855,460,5,3073,100.8488,100.8436
2014-01-02 10:56:29.719,101.0128,2771,2,9762,101.0046,101.0099
2014-01-02 11:01:29.719,100.9866,2892,9,4713,100.9875,100.9888
2014-01-02 11:06:29.719,101.085,1181,3,1181,101.0801,101.0676
2014-01-02 11:11:29.719,101.2206,2063,1,2582,101.2135,101.2164
2014-01-02 11:16:29.719,101.3046,310,2,6440,101.3,101.3028
2014-01-02 11:21:29.719,101.3942,2640,4,3301,101.3895,101.386
2014-01-02 11:26:29.719,101.3845,136,3,1339,101.3847,101.3847
2014-01-02 11:31:29.719,101.4133,1039,4,1039,101.4119,101.4114
2014-01-02 11:36:29.719,101.4762,182,1,3012,101.473,101.475
2014-01-02 11:41:29.719,101.6898,3098,5,3098,101.679,101.6797
2014-01-02 11:46:29.719,101.6358,2164,1,3800,101.6379,101.6376
2014-01-02 11:51:29.719,101.5722,326,4,1978,101.5755,101.5782
2014-01-02 11:56:29.719,101.5492,1351,2,4529,101.5505,101.5499
2014-01-02 12:01:29.719,101.5644,3259,6,5418,101.5637,101.5638
2014-01-02 12:06:29.719,101.6096,1489,4,3206,101.6073,101.6059
2014-01-02 12:11:29.719,101.5221,479,3,5304,101.5263,101.5247
2014-01-02 12:16:29.719,101.4439,134,5,134,101.4481,101.4982
2014-01-02 12:21:29.719,101.3843,647,1,7665,101.3875,101.3846
2014-01-02 12:26:29.719,101.4324,747,5,14849,101.4302,101.4312
2014-01-02 12:31:29.719,101.6465,939,6,4446,101.6357,101.615
2014-01-02 12:36:29.719,101.6261,1226,4,1226,101.6266,101.6241
2014-01-02 12:41:29.719,101.856,436,1,2071,101.8446,101.848
2014-01-02 12:46:29.719,101.7604,327,4,1259,101.7646,101.7673
2014-01-02 12:51:29.719,101.8546,2955,2,12810,101.8501,101.8541
2014-01-02 12:56:29.719,101.9406,954,7,10747,101.9361,101.9357
2014-01-02 13:01:29.719,101.7911,283,6,4521,101.7984,101.8073
2014-01-02 13:06:29.719,101.7324,832,3,1049,101.7357,101.747
2014-01-02 13:11:29.719,101.7802,1006,2,5463,101.778,101.7798
2014-01-02 13:16:29.719,101.8056,608,6,2958,101.8042,101.8034
2014-01-02 13:21:29.719,101.8184,806,4,0,101.8177,101.8034
2014-01-02 13:26:29.719,101.8184,806,0,9800,101.8183,101.8184
2014-01-02 13:31:29.719,101.9094,1351,4,1719,101.9049,101.8892
2014-01-02 13:36:29.719,101.8675,1482,2,1482,101.8693,101.869
2014-01-02 13:41:29.719,101.8823,3100,1,5477,101.8816,101.8821
2014-01-02 13:46:29.719,101.9535,215,3,13166,101.9499,101.9521
2014-01-02 13:51:29.719,101.9218,837,5,837,101.9232,101.9353
2014-01-02 13:56:29.719,102.0178,14,1,780,102.0131,102.0106
2014-01-02 14:01:29.719,101.9255,847,2,1611,101.9299,101.9277
2014-01-02 14:06:29.719,102.0831,54,4,668,102.0754,102.066
2014-01-02 14:11:29.719,102.2866,16,2,16,102.276,102.1319
2014-01-02 14:16:29.719,102.2839,931,1,931,102.2835,102.2835
2014-01-02 14:21:29.719,102.2971,3747,1,10540,102.2964,102.2971
2014-01-02 14:26:29.719,102.2813,462,5,5418,102.282,102.2827
2014-01-02 14:31:29.719,102.1111,2746,5,4413,102.1196,102.1219
2014-01-02 14:36:29.719,102.0607,1292,2,3062,102.0637,102.0651
2014-01-02 14:41:29.719,102.1813,110,5,110,102.1754,102.1116
2014-01-02 14:46:29.719,102.3343,3067,1,3067,102.3263,102.3333
2014-01-02 14:51:29.719,102.3738,2791,1,3516,102.3714,102.3721
2014-01-02 14:56:29.719,102.4061,66,2,66,102.4044,102.3811
2014-01-02 15:01:29.719,102.4708,1472,1,10907,102.4674,102.4707
2014-01-02 15:06:29.719,102.5375,3820,8,10262,102.534,102.5341
2014-01-02 15:11:29.719,102.6439,1510,3,0,102.6384,102.5341
2014-01-02 15:16:29.719,102.6439,1510,0,10958,102.6436,102.6436
2014-01-02 15:21:29.719,102.6185,211,7,3096,102.6197,102.6222
2014-01-02 15:26:29.719,102.6088,960,4,3530,102.6094,102.6095
2014-01-02 15:31:29.719,102.536,56,3,1694,102.5397,102.5433
2014-01-02 15:36:29.719,102.4224,731,4,924,102.4282,102.4335
2014-01-02 15:41:29.719,102.5542,456,3,3447,102.5479,102.5525
2014-01-02 15:46:29.719,102.5217,4596,2,8152,102.523,102.5223
2014-01-02 15:51:29.719,102.6087,320,3,3277,102.6044,102.599
2014-01-02 15:56:29.719,102.5584,3601,4,6261,102.5607,102.5596
2014-01-02 16:01:29.719,102.4659,201,3,5237,102.4706,102.4713
2014-01-02 16:06:29.719,102.2551,182,5,7594,102.2658,102.2627
2014-01-02 16:11:29.719,102.2588,4986,4,4986,102.2592,102.2591
2014-01-02 16:16:29.719,102.1307,2482,1,5935,102.1371,102.1363
